SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.0.8802.1.1.2.1.1.1.0, Type=Integer, Value=30
OID=.1.0.8802.1.1.2.1.1.2.0, Type=Integer, Value=4
OID=.1.0.8802.1.1.2.1.1.3.0, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.4.0, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.2.1, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.2, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.3, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.4, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.5, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.6, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.7, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.8, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.9, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.10, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.11, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.12, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.13, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.14, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.15, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.16, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.17, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.18, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.19, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.20, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.21, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.22, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.23, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.24, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.25, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.26, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.27, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.28, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.29, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.30, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.31, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.32, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.33, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.34, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.35, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.36, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.37, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.38, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.39, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.40, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.41, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.42, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.43, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.44, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.45, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.46, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.47, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.48, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.49, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.50, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.51, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.2.52, Type=Integer, Value=3
OID=.1.0.8802.1.1.2.1.1.6.1.3.1, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.2, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.3, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.4, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.5, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.6, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.7, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.8, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.9, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.10, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.11, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.12, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.13, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.14, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.15, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.16, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.17, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.18, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.19, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.20, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.21, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.22, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.23, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.24, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.25, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.26, Type=Integer, Value=2
